type dayOfWeek location
"Aid Response" 0 "(47.612715999999999, -122.345399)"
"1RED 1 Unit" 1 "(47.601666999999999, -122.327778)"
"Aid Response Yellow" 1 "(47.512819, -122.262055)"
"Investigate Out Of Service" 1 "(47.577776999999998, -122.3214)"
"Medic Response" 1 "(47.615383999999999, -122.347925)"
"Medic Response" 1 "(47.659722000000002, -122.309729)"
"Medic Response" 1 "(47.721091999999999, -122.29589199999999)"
"Aid Response" 1 "(47.609121999999999, -122.328013)"
"Aid Response" 1 "(47.604841, -122.32409699999999)"
"Medic Response" 1 "(47.542026999999997, -122.30364899999999)"
"Hang-Up- Aid" 1 "(47.617316000000002, -122.347229)"
"Auto Fire Alarm" 1 "(47.627192000000001, -122.35678299999999)"
"Aid Response" 1 "(47.712305999999998, -122.339738)"
"Medic Response" 1 "(47.645111, -122.408384)"
"Aid Response" 1 "(47.615659000000001, -122.31816600000001)"
"Auto Fire Alarm" 1 "(47.640479999999997, -122.329522)"
"Aid Response" 1 "(47.659981000000002, -122.313163)"
"Aid Response" 1 "(47.561673999999996, -122.293783)"
"Auto Fire Alarm" 1 "(47.524684000000001, -122.364526)"
"Auto Fire Alarm" 1 "(47.580821999999998, -122.312101)"
"Auto Fire Alarm" 1 "(47.591453999999999, -122.31728099999999)"
"Aid Response" 1 "(47.697690000000001, -122.323048)"
"Medic Response" 1 "(47.693930999999999, -122.30552)"
"Aid Response" 1 "(47.607390000000002, -122.332564)"
"Aid Response" 1 "(47.602099000000003, -122.319562)"
"Aid Response" 1 "(47.602812999999998, -122.33144900000001)"
"Aid Response" 1 "(47.537045999999997, -122.28339699999999)"
"Aid Response" 1 "(47.701436999999999, -122.344651)"
"Medic Response" 1 "(47.615476999999998, -122.30744)"
"Aid Response" 1 "(47.658450999999999, -122.313203)"
"Aid Response" 1 "(47.708601999999999, -122.32458800000001)"
"Aid Response" 1 "(47.579810000000002, -122.333269)"
"Aid Response" 1 "(47.655304999999998, -122.30794299999999)"
"Aid Response" 1 "(47.682243, -122.32516200000001)"
"Aid Response" 1 "(47.651051000000002, -122.360876)"
"Medic Response" 1 "(47.623153000000002, -122.296667)"
"Aid Response" 1 "(47.537045999999997, -122.28339699999999)"
"Aid Response" 1 "(47.523513000000001, -122.39270399999999)"
"Medic Response" 1 "(47.683138999999997, -122.31208100000001)"
"Aid Response" 1 "(47.661783999999997, -122.269426)"
"Aid Response" 1 "(47.611207, -122.340864)"
"Aid Response" 1 "(47.518177999999999, -122.367277)"
"Aid Response Yellow" 1 "(47.567515999999998, -122.40854899999999)"
"Aid Response" 1 "(47.585293, -122.303456)"
"Auto Fire Alarm" 1 "(47.611671999999999, -122.336484)"
"Medic Response" 1 "(47.688639000000002, -122.307892)"
"1RED 1 Unit" 1 "(47.601666999999999, -122.327778)"
"Aid Response" 1 "(47.612577999999999, -122.34119699999999)"
"1RED 1 Unit" 1 "(47.601666999999999, -122.327778)"
"1RED 1 Unit" 1 "(47.601666999999999, -122.327778)"
"Aid Response" 1 "(47.609799000000002, -122.34195)"
"Aid Response" 1 "(47.57835, -122.298151)"
"Medic Response" 1 "(47.599184999999999, -122.319249)"
"1RED 1 Unit" 1 "(47.595692999999997, -122.33327300000001)"
"Aid Response Freeway" 1 "(47.577176000000001, -122.319669)"
"Medic Response Freeway" 1 "(47.577176000000001, -122.319669)"
"Aid Response" 1 "(47.658633999999999, -122.304247)"
"3RED - 1 +1 + 1" 1 "(47.619705000000003, -122.338475)"
"1RED 1 Unit" 1 "(47.508659999999999, -122.391154)"
"Fire in Building" 1 "(47.616498999999997, -122.32554500000001)"
"Aid Response" 1 "(47.616641999999999, -122.327881)"
"4RED - 2 + 1 + 1" 1 "(47.566186000000002, -122.28391999999999)"
"Investigate Out Of Service" 1 "(47.650593999999998, -122.39289100000001)"
"Auto Fire Alarm" 1 "(47.588026999999997, -122.38627700000001)"
"Aid Response" 1 "(47.602172000000003, -122.33086299999999)"
"Medic Response" 1 "(47.697459000000002, -122.290531)"
"Aid Response" 1 "(47.717765, -122.28530600000001)"
"Trans to AMR" 1 "(47.568375000000003, -122.385543)"
"Medic Response- 6 per Rule" 1 "(47.514898000000002, -122.28550300000001)"
"Medic Response" 1 "(47.699402999999997, -122.273348)"
"Aid Response" 1 "(47.722898999999998, -122.293194)"
"Medic Response- 7 per Rule" 1 "(47.571382, -122.336562)"
"Aid Response" 1 "(47.601717999999998, -122.331581)"
"Motor Vehicle Accident" 1 "(47.734129000000003, -122.346823)"
"Aid Response" 1 "(47.597405999999999, -122.317228)"
"Medic Response" 1 "(47.633462999999999, -122.277157)"
"Medic Response" 1 "(47.611671999999999, -122.336484)"
"Medic Response" 1 "(47.582410000000003, -122.382795)"
"Automatic Fire Alarm False" 1 "(47.607827999999998, -122.339105)"
"Medic Response" 2 "(47.539419000000002, -122.390816)"
"Medic Response" 2 "(47.601700000000001, -122.320537)"
"Automatic Medical Alarm" 2 "(47.732311000000003, -122.34131600000001)"
"Automatic Fire Alarm Resd" 2 "(47.524518, -122.356431)"
"Motor Vehicle Accident" 2 "(47.553907000000002, -122.280749)"
"Motor Vehicle Accident" 2 "(47.706811999999999, -122.328592)"
"Medic Response" 2 "(47.580916999999999, -122.385184)"
"Trans to AMR" 2 "(47.526215999999998, -122.360471)"
"Medic Response" 2 "(47.497656999999997, -122.26694500000001)"
"Aid Response" 2 "(47.523055999999997, -122.319795)"
"Medic Response" 2 "(47.570014999999998, -122.385459)"
"Medic Response" 2 "(47.606180999999999, -122.311554)"
"Medic Response" 2 "(47.553578000000002, -122.381597)"
"Medic Response" 2 "(47.609850999999999, -122.337886)"
"Rubbish Fire" 2 "(47.613270999999997, -122.344353)"
"Aid Response" 2 "(47.571674999999999, -122.327471)"
"Automatic Fire Alarm Resd" 2 "(47.635945999999997, -122.31346600000001)"
"Aid Response" 2 "(47.636172999999999, -122.40248699999999)"
"Trans to AMR" 2 "(47.600816000000002, -122.33596300000001)"
"Automatic Fire Alarm False" 2 "(47.624631999999998, -122.36388700000001)"
"Aid Response" 2 "(47.563242000000002, -122.312741)"
"Trans to AMR" 2 "(47.554510000000001, -122.309861)"
"Aid Response" 2 "(47.625796000000001, -122.338635)"
"Aid Response" 2 "(47.663091999999999, -122.313102)"
"Aid Response" 2 "(47.576146000000001, -122.296464)"
"1RED 1 Unit" 2 "(47.662263000000003, -122.337683)"
"Medic Response" 2 "(47.554937000000002, -122.282393)"
"Aid Response" 2 "(47.595793999999998, -122.32768299999999)"
"Auto Fire Alarm" 2 "(47.599280999999998, -122.302222)"
"Aid Response" 2 "(47.709476000000002, -122.344767)"
"Aid Response Yellow" 2 "(47.544668999999999, -122.373777)"
"Aid Response" 2 "(47.697867000000002, -122.36701600000001)"
"Aid Response" 2 "(47.617173000000001, -122.33310299999999)"
"Aid Response" 2 "(47.524253000000002, -122.27578699999999)"
"Aid Response" 2 "(47.689165000000003, -122.297383)"
"Aid Response Yellow" 2 "(47.637025999999999, -122.32346699999999)"
"Medic Response" 2 "(47.718105999999999, -122.344911)"
"Aid Response" 2 "(47.617953999999997, -122.29483)"
"Aid Response" 2 "(47.732393999999999, -122.293826)"
"Automatic Fire Alarm Resd" 2 "(47.529913000000001, -122.28076)"
"Rescue Elevator" 2 "(47.616402999999998, -122.32081700000001)"
"Aid Response" 2 "(47.615234999999998, -122.32079899999999)"
"Medic Response- 6 per Rule" 2 "(47.533698999999999, -122.363544)"
"Motor Vehicle Accident" 2 "(47.551875000000003, -122.329565)"
"Medic Response" 2 "(47.709488, -122.323301)"
"Aid Response" 2 "(47.598253, -122.327671)"
"Aid Response" 2 "(47.721091999999999, -122.29589199999999)"
"Medic Response- 6 per Rule" 2 "(47.606017999999999, -122.32364099999999)"
"Aid Response" 2 "(47.661292000000003, -122.316579)"
"Medic Response" 2 "(47.667954000000002, -122.376216)"
"Aid Response" 2 "(47.535514999999997, -122.36216)"
"Aid Response" 2 "(47.618693, -122.334256)"
"Trans to AMR" 2 "(47.544668999999999, -122.373777)"
"Automatic Medical Alarm" 2 "(47.584234000000002, -122.299024)"
"Automatic Medical Alarm" 2 "(47.512819, -122.262055)"
"Medic Response" 2 "(47.723218000000003, -122.348195)"
"Aid Response" 2 "(47.614229999999999, -122.32078300000001)"
"Aid Response" 2 "(47.694885999999997, -122.31182699999999)"
"Medic Response" 2 "(47.732674000000003, -122.29653399999999)"
"Medic Response" 2 "(47.728907, -122.29644399999999)"
"Aid Response" 2 "(47.621248999999999, -122.308727)"
"Auto Fire Alarm" 2 "(47.538744999999999, -122.36099)"
"Aid Response" 2 "(47.617801999999998, -122.355992)"
"Motor Vehicle Accident Freeway" 2 "(47.559044999999998, -122.321742)"
"Medic Response" 2 "(47.724454000000001, -122.28639699999999)"
"Aid Response" 2 "(47.665187000000003, -122.31079699999999)"
"Aid Response" 2 "(47.655614, -122.333822)"
"Aid Response" 2 "(47.720185000000001, -122.294697)"
"Aid Response" 2 "(47.716783999999997, -122.344888)"
"Automatic Medical Alarm" 2 "(47.512819, -122.262055)"
"Medic Response" 2 "(47.618693, -122.334256)"
"Aid Response" 2 "(47.563659999999999, -122.28494999999999)"
"Aid Response" 2 "(47.553840000000001, -122.391051)"
"Automatic Fire Alarm False" 2 "(47.661256999999999, -122.306399)"
"Trans to AMR" 2 "(47.520453000000003, -122.33600300000001)"
"Aid Response" 2 "(47.608854000000001, -122.339934)"
"Aid Response" 2 "(47.610387000000003, -122.34119800000001)"
"Aid Response" 2 "(47.538409999999999, -122.28682499999999)"
"Aid Response" 2 "(47.717801999999999, -122.29610599999999)"
"Aid Response" 2 "(47.544682999999999, -122.376445)"
"Aid Response" 2 "(47.562427, -122.385456)"
"Medic Response" 2 "(47.674607000000002, -122.368731)"
"Aid Response" 2 "(47.621988000000002, -122.32090599999999)"
"Aid Response" 2 "(47.613528000000002, -122.332042)"
"Medic Response" 2 "(47.670707999999998, -122.33431899999999)"
"Aid Response" 2 "(47.630597000000002, -122.327645)"
"Aid Response" 2 "(47.670186999999999, -122.388155)"
"Trans to AMR" 2 "(47.668680000000002, -122.386398)"
"Aid Response" 2 "(47.608966000000002, -122.34168200000001)"
"Aid Response" 2 "(47.617708999999998, -122.330044)"
"Medic Response" 2 "(47.662171000000001, -122.339151)"
"Aid Response" 2 "(47.604160999999998, -122.328079)"
"Aid Response Yellow" 2 "(47.617316000000002, -122.347229)"
"Aid Response" 2 "(47.608786000000002, -122.336913)"
"Aid Response" 2 "(47.560423999999998, -122.30103)"
"Aid Response" 2 "(47.681623000000002, -122.384305)"
"Hang-Up- Aid" 2 "(47.601717999999998, -122.331581)"
"Aid Response" 2 "(47.601717999999998, -122.331581)"
"Medic Response" 2 "(47.732680000000002, -122.342376)"
"Automatic Medical Alarm" 2 "(47.676048000000002, -122.30382)"
"Medic Response" 2 "(47.614800000000002, -122.34467100000001)"
"Investigate Out Of Service" 2 "(47.655813000000002, -122.37746)"
"Aid Response" 2 "(47.719656000000001, -122.35553899999999)"
"Medic Response" 2 "(47.602984999999997, -122.328535)"
"Aid Response" 2 "(47.651519999999998, -122.389914)"
"Medic Response" 2 "(47.599905999999997, -122.327664)"
"Medic Response" 2 "(47.704186999999997, -122.323161)"
"Aid Response" 2 "(47.615267000000003, -122.292399)"
"Aid Response" 2 "(47.726619999999997, -122.304017)"
"Medic Response" 2 "(47.717672, -122.323539)"
"Aid Response" 2 "(47.586170000000003, -122.32906199999999)"
"Auto Fire Alarm" 2 "(47.526164000000001, -122.269983)"
"Medic Response" 2 "(47.701498999999998, -122.34060100000001)"
"Aid Response" 2 "(47.716844000000002, -122.34488899999999)"
"Medic Response" 2 "(47.602984999999997, -122.328535)"
"Automatic Fire Alarm Resd" 2 "(47.566606999999998, -122.38954099999999)"
"Auto Fire Alarm" 2 "(47.608620999999999, -122.320756)"
"Medic Response" 2 "(47.673741999999997, -122.39298599999999)"
"Automatic Fire Alarm Resd" 2 "(47.508065999999999, -122.389954)"
"Trans to AMR" 2 "(47.612492000000003, -122.34105099999999)"
"Aid Response" 2 "(47.618600999999998, -122.35529)"
"Aid Response" 2 "(47.607816999999997, -122.331423)"
"Aid Response" 2 "(47.564518999999997, -122.32279699999999)"
"Medic Response" 2 "(47.693930999999999, -122.30552)"
"1RED 1 Unit" 2 "(47.639631999999999, -122.410805)"
"Automatic Fire Alarm Resd" 2 "(47.639597000000002, -122.359645)"
"Aid Response" 2 "(47.683933000000003, -122.26387200000001)"
"Aid Response" 2 "(47.685175000000001, -122.281046)"
"Medic Response" 2 "(47.510145999999999, -122.245088)"
"Car Fire" 2 "(47.681052000000001, -122.349892)"
"Aid Response" 2 "(47.614736000000001, -122.34245900000001)"
"Aid Response" 2 "(47.606088, -122.332909)"
"Aid Response" 2 "(47.661467000000002, -122.368768)"
"Aid Response" 2 "(47.521594999999998, -122.264225)"
"Aid Response" 2 "(47.705401000000002, -122.348722)"
"Medic Response" 2 "(47.726863999999999, -122.348012)"
"Rescue Elevator" 2 "(47.626176999999998, -122.330843)"
"Aid Response" 2 "(47.650827999999997, -122.34474299999999)"
"Medic Response" 2 "(47.606639999999999, -122.31155099999999)"
"Aid Response" 2 "(47.603878999999999, -122.333958)"
"Aid Response" 2 "(47.518177999999999, -122.367277)"
"Aid Response" 2 "(47.606982000000002, -122.32605599999999)"
"Medic Response" 2 "(47.704186999999997, -122.323161)"
"Aid Response" 2 "(47.607050000000001, -122.335324)"
"Aid Response" 2 "(47.610559000000002, -122.287171)"
"Automatic Medical Alarm" 2 "(47.721328999999997, -122.296339)"
"Trans to AMR" 2 "(47.561849000000002, -122.310818)"
"Medic Response" 2 "(47.548802999999999, -122.276968)"
"Aid Response" 2 "(47.706850000000003, -122.333961)"
"Aid Response" 2 "(47.542459999999998, -122.276301)"
"Medic Response" 2 "(47.656897000000001, -122.333805)"
"Aid Response" 2 "(47.538649999999997, -122.32062999999999)"
"Medic Response" 2 "(47.612715999999999, -122.345399)"
"Medic Response" 2 "(47.546101, -122.289033)"
"Single Medic Unit" 2 "(47.518661000000002, -122.33326700000001)"
"Aid Response" 2 "(47.609983, -122.33800599999999)"
"Medic Response" 2 "(47.606628000000001, -122.31285699999999)"
"Auto Fire Alarm" 2 "(47.607298999999998, -122.337087)"
"Medic Response- 7 per Rule" 2 "(47.697713, -122.325704)"
"Aid Response" 2 "(47.606834999999997, -122.33819699999999)"
"Aid Response" 2 "(47.659781000000002, -122.312032)"
"Medic Response" 2 "(47.562728, -122.294695)"
"Aid Response" 2 "(47.699871999999999, -122.324247)"
"Aid Response" 2 "(47.606834999999997, -122.33819699999999)"
"Aid Response" 2 "(47.609285, -122.319366)"
"Car Fire" 2 "(47.666519000000001, -122.30552900000001)"
"Medic Response" 2 "(47.539130999999998, -122.35734600000001)"
"Medic Response" 2 "(47.606268, -122.337677)"
"Fuel Spill" 2 "(47.666373, -122.29841500000001)"
"Aid Response" 2 "(47.675967999999997, -122.31193399999999)"
"Aid Response" 2 "(47.731698999999999, -122.35174600000001)"
"Aid Response" 2 "(47.562010999999998, -122.294242)"
"Medic Response" 2 "(47.596674, -122.32478999999999)"
"Aid Response" 2 "(47.663105999999999, -122.315263)"
"Investigate Out Of Service" 2 "(47.571399, -122.322746)"
"Aid Response" 2 "(47.692107, -122.30483599999999)"
"Aid Response" 2 "(47.612707999999998, -122.33729200000001)"
"Fire in Building" 2 "(47.631410000000002, -122.346267)"
"Aid Response" 2 "(47.650664999999996, -122.38597900000001)"
"Medic Response- 7 per Rule" 2 "(47.594439999999999, -122.294377)"
"Automatic Fire Alarm Resd" 3 "(47.638066000000002, -122.289941)"
"Aid Response" 3 "(47.614705000000001, -122.34479399999999)"
"Medic Response" 3 "(47.712305000000001, -122.339596)"
"Aid Response" 3 "(47.605159, -122.33512899999999)"
"Aid Response" 3 "(47.569459000000002, -122.287212)"
"Auto Fire Alarm" 3 "(47.643616000000002, -122.325886)"
"Aid Response" 3 "(47.614092999999997, -122.34375900000001)"
"Aid Response" 3 "(47.558836999999997, -122.39492199999999)"
"Auto Fire Alarm" 3 "(47.571232999999999, -122.291003)"
"Aid Response" 3 "(47.692188000000002, -122.31722499999999)"
"Aid Response" 3 "(47.562686999999997, -122.294419)"
"Aid Response" 3 "(47.535514999999997, -122.36216)"
"Motor Vehicle Accident" 3 "(47.648473000000003, -122.37680899999999)"
"Aid Response" 3 "(47.708601999999999, -122.32458800000001)"
"Medic Response" 3 "(47.617178000000003, -122.31819)"
"Aid Response" 3 "(47.614207, -122.294875)"
"Aid Response" 3 "(47.654142999999998, -122.351197)"
"Aid Response" 3 "(47.726863999999999, -122.348012)"
"Aid Response" 3 "(47.664890999999997, -122.311717)"
"Auto Fire Alarm" 3 "(47.648812, -122.374887)"
"4RED - 2 + 1 + 1" 3 "(47.542842999999998, -122.372816)"
"Medic Response" 3 "(47.616698999999997, -122.325548)"
"Automatic Medical Alarm" 3 "(47.726863999999999, -122.348012)"
"Aid Response" 3 "(47.566310999999999, -122.371565)"
"Aid Response" 3 "(47.707239999999999, -122.35946300000001)"
"Automatic Fire Alarm Resd" 3 "(47.681054000000003, -122.35216200000001)"
"Rescue Elevator" 3 "(47.613219999999998, -122.340298)"
"Medic Response" 3 "(47.669463999999998, -122.393562)"
"Aid Response" 3 "(47.614207, -122.294875)"
"Medic Response" 3 "(47.677649000000002, -122.264859)"
"Auto Fire Alarm" 3 "(47.670175, -122.378984)"
"Medic Response" 3 "(47.610394999999997, -122.316779)"
"Auto Fire Alarm" 3 "(47.605432, -122.33231000000001)"
"Aid Response" 3 "(47.696280999999999, -122.356701)"
"Aid Response" 3 "(47.599196999999997, -122.328968)"
"Aid Response" 3 "(47.602114, -122.330809)"
"Medic Response" 3 "(47.610515999999997, -122.324681)"
"Auto Fire Alarm" 3 "(47.649633000000001, -122.349751)"
"Auto Fire Alarm" 3 "(47.620814000000003, -122.33298600000001)"
"Medic Response" 3 "(47.618693, -122.334256)"
"Aid Response" 3 "(47.657940000000004, -122.352079)"
"Aid Response" 3 "(47.72343, -122.34816499999999)"
"Aid Response" 3 "(47.607999999999997, -122.298096)"
"Medic Response" 3 "(47.558987999999999, -122.376234)"
"Medic Response- 7 per Rule" 3 "(47.660252, -122.328278)"
"Medic Response- 7 per Rule" 3 "(47.686810999999999, -122.316283)"
"Aid Response" 3 "(47.599195000000002, -122.32766700000001)"
"Aid Response" 3 "(47.670169999999999, -122.37358500000001)"
"Medic Response" 3 "(47.611258999999997, -122.32076000000001)"
"Medic Response" 3 "(47.624502, -122.29660800000001)"
"Aid Response" 3 "(47.611207, -122.337592)"
"Aid Response" 3 "(47.640917000000002, -122.354158)"
"Aid Response" 3 "(47.612251000000001, -122.338379)"
"3RED - 1 +1 + 1" 3 "(47.673810000000003, -122.368905)"
"Fire in Single Family Res" 3 "(47.533594999999998, -122.347025)"
"Aid Response Yellow" 3 "(47.584234000000002, -122.299024)"
"Aid Response" 3 "(47.642899, -122.36358)"
"Aid Response" 3 "(47.672367000000001, -122.382215)"
"Aid Response" 3 "(47.598351000000001, -122.32432799999999)"
"Hang-Up- Aid" 3 "(47.528156000000003, -122.319694)"
"Trans to AMR" 3 "(47.70158, -122.33926599999999)"
"Aid Response" 3 "(47.680737999999998, -122.356404)"
"Trans to AMR" 3 "(47.620116000000003, -122.352827)"
"Aid Response" 3 "(47.543889, -122.322604)"
"Unk Odor" 3 "(47.701663000000003, -122.340603)"
"Motor Vehicle Accident" 3 "(47.675789000000002, -122.279534)"
"Medic Response- 7 per Rule" 3 "(47.553401999999998, -122.279146)"
"Medic Response" 3 "(47.514324000000002, -122.26204199999999)"
"Aid Response" 3 "(47.543180999999997, -122.283123)"
"Medic Response" 3 "(47.632691999999999, -122.299538)"
"Aid Response" 3 "(47.668532999999996, -122.292644)"
"Medic Response" 3 "(47.557057, -122.290684)"
"Aid Response" 3 "(47.558987999999999, -122.376234)"
"Trans to AMR" 3 "(47.708657000000002, -122.332982)"
"Auto Fire Alarm" 3 "(47.663074000000002, -122.305164)"
"Aid Response" 3 "(47.523041999999997, -122.31496799999999)"
"Aid Response Yellow" 3 "(47.534078000000001, -122.34707)"
"Medic Response" 3 "(47.684018999999999, -122.35487500000001)"
"Aid Response" 3 "(47.614317, -122.316839)"
"Natural Gas Odor" 3 "(47.615571000000003, -122.31555400000001)"
"Aid Response Yellow" 3 "(47.670912999999999, -122.385203)"
"Auto Fire Alarm" 3 "(47.608665000000002, -122.329131)"
"Aid Response" 3 "(47.53593, -122.27003499999999)"
"Aid Response" 3 "(47.601717999999998, -122.331581)"
"Aid Response" 3 "(47.585746999999998, -122.334198)"
"Medic Response" 3 "(47.568986000000002, -122.313444)"
"Automatic Medical Alarm" 3 "(47.513084999999997, -122.257037)"
"Aid Response" 3 "(47.719343000000002, -122.29519500000001)"
"Aid Response" 3 "(47.561926, -122.376204)"
"Aid Response" 3 "(47.607762999999998, -122.335976)"
"Aid Response" 3 "(47.732292999999999, -122.293828)"
"Medic Response" 3 "(47.533382000000003, -122.380641)"
"Medic Response" 3 "(47.733066999999998, -122.29919599999999)"
"Aid Response Yellow" 3 "(47.681396999999997, -122.271669)"
"Medic Response" 3 "(47.612625999999999, -122.34127700000001)"
"Aid Response" 3 "(47.701756000000003, -122.335022)"
"Medic Response" 3 "(47.609749999999998, -122.337793)"
"Aid Response" 3 "(47.601689999999998, -122.314913)"
"Aid Response" 3 "(47.599167000000001, -122.327778)"
"Medic Response Freeway" 3 "(47.566974000000002, -122.32047)"
"Medic Response- 7 per Rule" 3 "(47.719343000000002, -122.29519500000001)"
"Trans to AMR" 3 "(47.577359999999999, -122.416892)"
"Medic Response" 3 "(47.707039999999999, -122.35145300000001)"
"Aid Response" 3 "(47.732846000000002, -122.296531)"
"Aid Response" 3 "(47.592944000000003, -122.299057)"
"Medic Response" 3 "(47.607945000000001, -122.32847099999999)"
"Medic Response- 6 per Rule" 3 "(47.584001000000001, -122.38642299999999)"
"Medic Response" 3 "(47.606800999999997, -122.333562)"
"Aid Response Freeway" 3 "(47.644945, -122.291116)"
"Aid Response" 3 "(47.606628000000001, -122.31285699999999)"
"Medic Response" 3 "(47.539419000000002, -122.390816)"
"Auto Fire Alarm" 3 "(47.708610999999998, -122.32595499999999)"
"Trans to AMR" 3 "(47.693460999999999, -122.344556)"
"Aid Response" 3 "(47.519126, -122.34416)"
"Aid Response" 3 "(47.605623999999999, -122.334019)"
"Aid Response" 3 "(47.616446000000003, -122.31145600000001)"
"Aid Response" 3 "(47.611910000000002, -122.33363199999999)"
"Auto Fire Alarm" 3 "(47.560302, -122.288821)"
"Automatic Fire Alarm False" 3 "(47.560302, -122.288821)"
"Medic Response" 3 "(47.558987999999999, -122.376234)"
"Aid Response" 3 "(47.609226999999997, -122.31677999999999)"
"Investigate In Service" 3 "(47.664437, -122.353964)"
"Auto Fire Alarm" 3 "(47.625506000000001, -122.343547)"
"Rescue Heavy" 3 "(47.586174999999997, -122.327541)"
"Electrical Problem" 3 "(47.627153999999997, -122.346109)"
"Medic Response" 3 "(47.519384000000002, -122.38561799999999)"
"Aid Response" 3 "(47.719276999999998, -122.294962)"
"Aid Response" 3 "(47.639555999999999, -122.401)"
"Aid Response" 3 "(47.529812999999997, -122.322727)"
"Aid Response" 3 "(47.595098999999998, -122.385448)"
"Medic Response" 3 "(47.581892000000003, -122.32380499999999)"
"Motor Vehicle Accident" 3 "(47.719292000000003, -122.297803)"
"Automatic Medical Alarm" 3 "(47.555155999999997, -122.307974)"
"Aid Response" 3 "(47.668649000000002, -122.362939)"
"Auto Fire Alarm" 3 "(47.530766, -122.28066800000001)"
"Aid Response" 3 "(47.526474999999998, -122.371252)"
"Medic Response" 3 "(47.639859000000001, -122.40099499999999)"
"1RED 1 Unit" 3 "(47.670909000000002, -122.382687)"
"Aid Response" 3 "(47.544249000000001, -122.37262200000001)"
"Aid Response" 3 "(47.570475999999999, -122.28073000000001)"
"Medic Response" 3 "(47.579146000000001, -122.32905700000001)"
"Motor Vehicle Accident" 3 "(47.693100999999999, -122.31760300000001)"
"Automatic Fire Alarm Resd" 3 "(47.511355999999999, -122.24833)"
"Aid Response" 3 "(47.577503999999998, -122.39103799999999)"
"Wires Down" 3 "(47.699722000000001, -122.381192)"
"Aid Response" 3 "(47.602984999999997, -122.328535)"
"Motor Vehicle Accident" 3 "(47.613366999999997, -122.350466)"
"Medic Response" 3 "(47.667603999999997, -122.38046799999999)"
"Automatic Fire Alarm Resd" 3 "(47.670060999999997, -122.319988)"
"Aid Response" 3 "(47.703268000000001, -122.38600700000001)"
"Aid Response" 3 "(47.622219000000001, -122.33043000000001)"
"HazMat Reduced" 3 "(47.583714999999998, -122.321395)"
"Aid Response" 3 "(47.576801000000003, -122.314671)"
"Medic Response" 3 "(47.697867000000002, -122.36701600000001)"
"Rescue Lock In/Out" 3 "(47.566155999999999, -122.284997)"
"Auto Fire Alarm" 3 "(47.614446999999998, -122.316841)"
"Motor Vehicle Accident" 3 "(47.549779999999998, -122.36301400000001)"
"Aid Response" 3 "(47.661425999999999, -122.31312800000001)"
"Medic Response" 3 "(47.611511, -122.32076000000001)"
"Trans to AMR" 4 "(47.615453000000002, -122.312765)"
"Aid Response" 4 "(47.733775000000001, -122.29512099999999)"
"Aid Response" 4 "(47.721091999999999, -122.296336)"
"Aid Response" 4 "(47.662132999999997, -122.348583)"
"Trans to AMR" 4 "(47.511797999999999, -122.39291)"
"Aid Response" 4 "(47.621105999999997, -122.329144)"
"Auto Fire Alarm" 4 "(47.607816999999997, -122.331423)"
"Auto Fire Alarm" 4 "(47.625506000000001, -122.343547)"
"Aid Response" 4 "(47.664999999999999, -122.31694400000001)"
"Medic Response" 4 "(47.697495000000004, -122.290533)"
"Aid Response" 4 "(47.539665999999997, -122.322298)"
"Aid Response" 4 "(47.610320999999999, -122.341385)"
"Medic Response" 4 "(47.533462999999998, -122.268154)"
"Aid Response" 4 "(47.732678999999997, -122.34132)"
"Aid Response" 4 "(47.626322000000002, -122.34886299999999)"
"Motor Vehicle Accident" 4 "(47.674557999999998, -122.38788099999999)"
"Aid Response" 4 "(47.656056, -122.363585)"
"Aid Response" 4 "(47.613095999999999, -122.287104)"
"Motor Vehicle Accident Freeway" 4 "(47.601669000000001, -122.32489700000001)"
"Motor Vehicle Accident" 4 "(47.604230000000001, -122.337349)"
"Motor Vehicle Accident Freeway" 4 "(47.607411999999997, -122.33040200000001)"
"Aid Response" 4 "(47.634954, -122.34038099999999)"
"Aid Response Yellow" 4 "(47.717489, -122.285301)"
"Electrical Problem" 4 "(47.708610999999998, -122.32595499999999)"
"Water Job Minor" 4 "(47.696283999999999, -122.389681)"
"EVENT - Special Event" 4 "(47.621329000000003, -122.355431)"
"Electrical Problem" 4 "(47.722969999999997, -122.30323)"
"Aid Response" 4 "(47.616945000000001, -122.332718)"
"Aid Response" 4 "(47.664999999999999, -122.31694400000001)"
"Medic Response" 4 "(47.707059000000001, -122.337513)"
"Aid Response" 4 "(47.615450000000003, -122.33073)"
"Aid Response" 4 "(47.664999999999999, -122.31694400000001)"
"Aid Response" 4 "(47.546531999999999, -122.276459)"
"Automatic Fire Alarm Resd" 4 "(47.515715999999998, -122.28577900000001)"
"Motor Vehicle Accident Freeway" 4 "(47.607411999999997, -122.33040200000001)"
"Medic Response" 4 "(47.534362000000002, -122.281858)"
"Water Job Minor" 4 "(47.604376999999999, -122.32520700000001)"
"Aid Response" 4 "(47.653599, -122.31448899999999)"
"Trans to AMR" 4 "(47.712550999999998, -122.322022)"
"Aid Response" 4 "(47.604376999999999, -122.32520700000001)"
"Motor Vehicle Accident" 4 "(47.519193999999999, -122.36455599999999)"
"Trans to AMR" 4 "(47.547356000000001, -122.288884)"
"Trans to AMR" 4 "(47.602519999999998, -122.329645)"
"Medic Response" 4 "(47.73104, -122.347764)"
